facets,gpa_cc_num,gpa_univ_num,hsgpa_num,lifesat,sattotal,satverb,satquant,satwrite,acttotal,actmath,actread,actwrite,actsci,absences2,absences4
A1,0.32,0.05,0.12,0.16,0.03,0.04,0.03,0.05,0.13,-0.02,0.02,0,-0.01,-0.07,-0.09
A2,0.26,0.12,0.17,0.19,0.02,-0.02,0.03,0.03,0.13,0.1,0.08,-0.06,0.07,-0.07,-0.15
A3,0,0.08,0.02,0.03,-0.02,-0.14,-0.11,-0.08,-0.01,0.03,-0.02,-0.01,-0.02,0.07,-0.12
A4,0.15,0.12,0.09,-0.05,0.08,0.13,0.1,0.05,0.08,0.01,0,0.07,0,-0.14,0.03
A5,0.02,-0.03,-0.03,-0.18,-0.06,0.03,-0.1,-0.03,-0.06,-0.14,-0.08,0.12,-0.11,-0.02,0.04
A6,0.23,0.06,0.17,0.25,-0.02,-0.06,0.02,-0.02,0,-0.08,-0.06,0.04,-0.07,-0.15,-0.1
A7,0.12,0.1,0.16,0.12,-0.05,-0.15,-0.15,-0.13,0.08,0.09,0.04,-0.07,0.04,-0.14,-0.19
A8,0.2,0.18,0.15,0.14,0.02,0.14,0.05,0.05,0.1,0,0.02,-0.02,0,-0.1,-0.08
C1,0.1,0.03,0.06,0.03,0.04,0.21,0.19,0.1,0.01,-0.06,-0.03,-0.04,-0.01,-0.07,0.09
C2,0.19,0.15,0.12,0.27,-0.04,-0.07,-0.02,-0.02,-0.01,0.09,0.07,-0.01,0.09,-0.1,-0.18
C3,0.12,0.17,0.13,0.19,-0.06,-0.05,-0.03,-0.11,-0.05,0.13,0.09,-0.04,0.07,-0.14,-0.24
C4,0.35,0.17,0.16,0.2,-0.06,0,-0.02,-0.04,0.08,0.02,-0.04,0.01,0,-0.22,-0.26
C5,0.38,0.24,0.22,0.28,-0.07,0.01,0.02,-0.02,0.08,0.03,0.02,-0.03,0.03,-0.19,-0.27
C6,0.32,0.11,0.16,0.23,0,0.09,0.1,-0.02,0.12,0.05,0.05,-0.1,0.05,-0.18,-0.18
C7,0.21,0.08,0.14,0.11,-0.09,-0.17,-0.11,-0.06,-0.06,0.01,-0.02,-0.02,0,-0.21,-0.21
C8,0.17,0.13,0.11,0.1,-0.04,0.07,0.05,-0.07,0.03,0.06,0.06,0.02,0.06,-0.14,-0.05
C9,0.4,0.17,0.13,0.23,-0.02,-0.05,-0.06,-0.04,0.01,0.05,0.05,0.06,0.08,-0.21,-0.24
E1,0.13,-0.03,0.11,0.26,-0.03,0.01,-0.1,0.11,-0.05,-0.14,-0.1,-0.07,-0.13,-0.03,-0.04
E2,-0.22,-0.19,-0.14,0,0.02,0.02,-0.04,0.01,-0.06,-0.14,-0.12,-0.05,-0.07,0.13,0.23
E3,-0.07,-0.01,0.06,0.2,-0.12,-0.15,-0.16,-0.05,-0.04,-0.06,-0.04,0.1,-0.04,0.02,-0.01
E4,0.2,0.04,0.07,0.49,-0.08,-0.09,-0.07,-0.07,-0.03,-0.07,-0.04,-0.07,-0.03,-0.07,-0.07
E5,0.11,-0.09,0,0.09,-0.05,0.11,0.03,0.05,0.03,-0.04,0.02,0.02,0.02,0.02,0.08
E6,0.05,-0.01,0.06,0.11,-0.01,0.05,-0.09,0.02,0,-0.13,-0.06,0.06,-0.09,-0.02,0.02
E7,0.17,-0.09,0.02,0.16,0.16,0.15,0.1,0.14,0.05,-0.12,0,-0.08,-0.02,0.15,0.05
E8,0.17,-0.05,0.05,0.22,-0.03,0.02,-0.04,0.02,-0.03,-0.19,-0.13,-0.01,-0.14,-0.06,0.01
E9,0.11,0.07,0.06,0.25,-0.05,-0.03,-0.02,-0.05,-0.01,-0.07,-0.07,-0.11,-0.01,-0.07,-0.17
N1,0.02,0.13,0.11,0.22,0.03,0,0.02,-0.04,0.12,0.17,0.14,-0.1,0.11,-0.05,-0.16
N2,0.16,0.09,0.09,0.53,-0.04,-0.12,-0.05,-0.08,-0.04,0.05,0.06,-0.05,0.08,-0.04,-0.15
N3,0.03,-0.02,-0.01,0.31,-0.03,-0.07,-0.06,0,-0.11,0.01,0.01,-0.06,0.03,0.02,-0.06
N4,0.12,0,0.03,0.25,0.1,0.13,0.14,0.12,0.09,0,0.01,-0.14,0.05,-0.12,0.04
N5,0.17,0.08,0.08,0.27,-0.02,-0.07,-0.01,0.01,-0.11,0.01,-0.01,-0.09,0,-0.09,-0.18
N6,-0.16,-0.01,-0.05,0.18,0.01,0.01,0.07,-0.01,-0.01,0.16,0.12,-0.09,0.18,0.04,-0.02
N7,-0.05,-0.03,0,0.21,-0.08,-0.15,-0.18,-0.04,-0.09,0.03,0,-0.03,0.04,0.08,-0.11
O1,0.21,-0.11,-0.01,0.06,0.01,0.02,-0.06,0.04,0.04,-0.1,-0.03,-0.09,-0.03,0.02,0.01
O2,0.17,0.04,0.09,0.18,0.03,0.06,-0.02,-0.02,0.12,-0.04,0.05,0.01,-0.01,-0.07,0.02
O3,0.38,-0.02,0.14,0.22,-0.04,0.05,0.03,0.01,0.09,-0.02,0.03,0.05,0.01,-0.16,-0.06
O4,0.34,0.12,0.15,0.07,0.13,0.25,0.06,0.17,0.23,0.08,0.2,0.03,0.13,-0.05,-0.07
O5,0.19,-0.06,0.04,0.04,-0.02,0.08,-0.08,0.02,0.06,-0.04,0.04,-0.07,-0.01,-0.01,0.04
O6,0.4,0.07,0.1,0.13,0.11,0.24,0.17,0.11,0.23,0.06,0.13,-0.1,0.11,-0.07,0.02
O7,0.39,0.12,0.1,0.21,0.07,0.14,0.11,0.08,0.11,-0.04,0.03,-0.05,0,-0.1,-0.09
O8,0.21,0.01,0.12,0.18,-0.02,0.08,-0.07,-0.02,0.09,-0.14,-0.09,-0.01,-0.13,-0.02,0
O9,0.39,0.11,0.2,0.24,0.16,0.27,0.26,0.19,0.22,0.16,0.16,0.04,0.2,-0.19,-0.05
