"","LS_cor","LS_beta","LS_R","GPA_cor","GPA_beta","GPA_R","ABS_cor","BAS_beta","ABS_R"
"Openness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"O1",0.0632719719125366,-0.10027048256143,NA,-0.0138258281352487,-0.173774396894772,NA,0.0118551048373978,0.172258400441323,NA
"O2",0.17636018707161,0.0759752012462683,NA,0.135179696839804,0.0957086379054859,NA,-0.142927501535685,-0.100720218301913,NA
"O3",0.224589150642009,0.124430071641738,NA,0.144380678810155,0.110712945321797,NA,-0.147178629208229,-0.103668263496957,NA
"O4",0.0716083462438294,-0.0225577564348616,NA,0.15624820799059,0.120190361173347,NA,-0.162024917923997,-0.127827996696582,NA
"O5",0.0393495909604591,-0.097554384696519,NA,0.0724853595227388,-0.0608358835656758,NA,-0.0675139403841816,0.07771817733091,NA
"O6",0.133921115199023,-0.0569553251423342,NA,0.202886433490839,0.203721858272751,NA,-0.199257219596152,-0.184088654177504,NA
"O7",0.211592673054492,0.110888380657395,NA,0.134529733754693,-0.0253097032284182,NA,-0.147181860983839,0.00434253699825496,NA
"O8",0.176406745655384,0.121658628236044,NA,0.0797997142651659,0.0122945885845484,NA,-0.0901478556863705,-0.0224808242361167,NA
"O9",0.238030329053604,0.16633357573613,NA,0.067912694728746,-0.0742138093559443,NA,-0.0778275089064237,0.0627559715483586,NA
"Domain score1",0.199827197950731,NA,0.0951407181032519,0.164852830985701,NA,0.0679288762492397,-0.171063277948486,NA,0.0687192883745583
"Conscientiousness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1",0.0332952603140694,0.0189130078218824,NA,0.0183562829566267,0.00448613905655086,NA,-0.0109548761690125,0.00435387793988794,NA
"C2",0.271774243430852,0.161684427868196,NA,-0.0909000027067086,-0.0835676187855995,NA,0.0742813711721131,0.0742253809830719,NA
"C3",0.193774554546539,0.0795548908357818,NA,-0.0369788065950466,-0.0414977185925555,NA,0.0244292764710311,0.0424423260078757,NA
