;domain;facet;labels;facetlabel_Germantranslation;facetlabel_asinB5PS;esem;items
1;a;a8;I think of others first.;altruism_nurturance;Altruism;-0.35;agree93
2;a;a8;I let other people take the credit for my work.;altruism_nurturance;Altruism;-0.35;agree55
3;a;a8;I try to respond with understanding when someone treats me badly.;altruism_nurturance;Altruism;-0.35;agree100
4;a;a8;I return extra change when a cashier makes a mistake.;altruism_nurturance;Altruism;-0.35;agree75
5;a;a1;I acknowledge others` accomplishments.;others;Appreciation;-0.35;agree2
6;a;a1;I respect others` feelings.;others;Appreciation;-0.38;agree72
7;a;a1;I respect others.;others;Appreciation;-0.38;agree73
8;a;a1;I am a good listener.;others;Appreciation;-0.38;agree4
9;a;a1;I am polite to strangers.;others;Appreciation;-0.38;agree18
10;a;a5;I show my sadness.;crybabiness;Search for Support;nonsig;agree83
11;a;a5;I show my fear.;crybabiness;Search for Support;nonsig;agree80
12;a;a5;I show my anger.;crybabiness;Search for Support;nonsig;agree79
13;a;a5;I tend to complain.;crybabiness;Search for Support;nonsig;agree92
14;a;a5;I seek support.;crybabiness;Search for Support;nonsig;agree78
15;a;a7;I lie to get myself out of trouble.;manipulation;Genuineness;0.64;agree56
16;a;a7;I respect authority.;manipulation;Genuineness;0.64;agree71
17;a;a7;I try to fool others.;manipulation;Genuineness;0.64;agree99
18;a;a7;I find it easy to manipulate others.;manipulation;Genuineness;0.64;agree43
19;a;a7;I use flattery to get ahead.;manipulation;Genuineness;0.64;agree103
20;a;a2;I speak ill of others.;meanness;Integrity;0.64;agree84
21;a;a2;I insult people.;meanness;Integrity;0.64;agree52
22;a;a2;I do things out of revenge.;meanness;Integrity;0.64;agree36
23;a;a2;I misuse power.;meanness;Integrity;0.64;agree67
24;a;a2;I try to avoid doing favors for others.;meanness;Integrity;0.64;agree98
25;a;a4;I do what others want me to do.;liked;Readiness to give feedback;nonsig;agree37
26;a;a4;I want to be liked.;liked;Readiness to give feedback;nonsig;agree104
27;a;a4;I change myself to suit others.;liked;Readiness to give feedback;nonsig;agree30
28;a;a4;I am afraid of providing criticism.;liked;Readiness to give feedback;nonsig;agree6
29;a;a4;I find it necessary to please the people who have power.;liked;Readiness to give feedback;nonsig;agree45
30;a;a3;I would like to have more power than other people.;superiority_grandiosity;Low competitiveness;0.76;agree109
31;a;a3;I want to control the conversation.;superiority_grandiosity;Low competitiveness;0.76;agree106
32;a;a3;I tend to brag about my accomplishments.;superiority_grandiosity;Low competitiveness;0.76;agree91
33;a;a3;I want to be told I am right.;superiority_grandiosity;Low competitiveness;0.76;agree105
34;a;a3;I see other people as my competitors.;superiority_grandiosity;Low competitiveness;0.76;agree77
35;a;a6;I trust what people say.;trust;Good Fatih;-0.23;agree97
36;a;a6;I trust others.;trust;Good Fatih;-0.23;agree96
37;a;a6;I believe that others have good intentions.;trust;Good Fatih;-0.23;agree25
38;a;a6;I am good at working with a group.;trust;Good Fatih;-0.23;agree13
39;a;a6;I feel like a loser if I compromise.;trust;Good Fatih;-0.23;agree39
40;c;c1;I want to be in charge.;others;Dominance;0.27;con110
41;c;c1;I try to lead others.;others;Dominance;0.27;con105
42;c;c1;I demand perfection in others.;others;Dominance;0.27;con29
43;c;c1;I try to outdo others.;others;Dominance;0.27;con106
44;c;c1;I resist authority.;others;Dominance;0.27;con93
45;c;c6;I choose my words with care.;deliberation;Carefulness;0.58;con25
46;c;c6;I look at the facts.;deliberation;Carefulness;0.58;con68
