"","","Agreeableness","Conscientiousness","Extraversion","Neuroticism","Openness"
"1","A1","-0.383***","0.124","0.261***","0.095","0.446***"
"2","A2","0.638***","-0.218*","-0.181**","0.130","-0.099"
"3","A3","0.757***","0.058","0.063","0.102","0.118"
"4","A6","-0.229***","0.007","0.407***","0.226**","0.137"
"5","A7","0.635***","-0.172","-0.034","0.144","-0.001"
"6","A8","-0.347***","-0.003","0.246***","0.132","0.334***"
"7","C1","0.677***","0.273***","0.081","0.041","0.177"
"8","C2","0.033","-0.325**","-0.203**","0.457***","-0.169*"
"9","C3","0.265***","-0.302*","0.096","0.533***","0.163*"
"10","C4","0.183*","0.816***","-0.097","0.034","0.012"
"11","C5","0.068","0.681***","0.133","-0.147","0.184*"
"12","C6","-0.071","0.585***","-0.194*","0.013","0.321***"
"13","C7","0.032","-0.46***","0.045","0.364***","0.185**"
"14","C8","0.054","0.35***","0.114","0.148*","0.191*"
"15","C9","0.12*","0.4***","0.077","-0.24**","0.16*"
"16","E1","-0.082","0.015","-0.746***","0.025","-0.002"
"17","E3","0.045","0.078","-0.694***","0.029","0.456***"
"18","E4","-0.081","0.169*","0.547***","-0.163","0.249***"
"19","E5","0.6***","0.039","0.196***","-0.007","0.398**"
"20","E6","0.113","-0.077","0.699***","0.36***","-0.001"
"21","E7","0.080","-0.203**","0.289***","-0.027","0.414***"
"22","E8","0.048","0.012","0.744***","0.137","0.083"
"23","E9","0.106","0.042","0.492***","-0.264***","0.110"
"24","N1","0.46***","0.011","-0.055","0.389***","-0.135"
"25","N2","0.052","-0.100","-0.489***","0.54***","0.083"
"26","N3","0.003","0.144","-0.243**","0.755***","0.090"
"27","N4","0.204*","-0.013","0.064","-0.411***","0.537***"
"28","N5","0.027","-0.365**","-0.234**","0.587***","0.006"
"29","N6","-0.162","0.247*","0.055","0.729***","-0.129"
"30","N7","0.136*","0.106","0.009","0.629***","-0.089"
"31","O1","0.220","-0.236***","-0.014","-0.158**","0.806***"
"32","O2","-0.184**","0.121","0.284***","0.038","0.42***"
"33","O3","-0.082","-0.012","0.066","-0.095","0.768***"
"34","O4","-0.208**","-0.040","-0.173**","0.107","0.543***"
"35","O5","-0.27**","-0.095","0.031","0.056","0.586***"
"36","O6","-0.001","0.154*","-0.152*","0.065","0.776***"
"37","O7","-0.246**","0.137*","0.044","-0.050","0.706***"
"38","O9","0.073","0.17**","-0.114","-0.197***","0.623***"
