"","facets","items","chisq(df)","pvalue","cfi","rmsea"
"1","c1",5,"19.883(5)","0.001",0.989,0.088
"2","c2",5,"8.72(5)","0.121",0.995,0.044
"3","c3",5,"36.07(5)","< 0.001",0.937,0.127
"4","c4",5,"47.719(5)","< 0.001",0.977,0.149
"5","c5",5,"154.106(5)","< 0.001",0.909,0.278
"6","c6",5,"18.672(5)","0.002",0.978,0.084
"7","c7",5,"92.76(5)","< 0.001",0.954,0.213
"8","c8",5,"35.668(5)","< 0.001",0.954,0.126
"9","c9",5,"19.16(5)","0.002",0.979,0.086
"10","n1",5,"29.498(5)","< 0.001",0.974,0.113
"11","n2",5,"57.719(5)","< 0.001",0.981,0.165
"12","n3",5,"14.337(5)","0.014",0.99,0.069
"13","n4",5,"43.461(5)","< 0.001",0.95,0.141
"14","n5",5,"22.031(5)","< 0.001",0.972,0.094
"15","n6",5,"15.515(5)","0.008",0.988,0.074
"16","n7",3,"0(0)","< 0.001",1,0
"17","o1",5,"6.403(5)","0.269",0.997,0.027
"18","o2",5,"63.079(5)","< 0.001",0.967,0.173
"19","o3",5,"100.749(5)","< 0.001",0.869,0.222
"20","o4",5,"17.058(5)","0.004",0.998,0.079
"21","o5",5,"5.175(5)","0.395",1,0.01
"22","o6",5,"7.965(5)","0.158",0.998,0.039
"23","o7",5,"7.74(5)","0.171",0.999,0.038
"24","o8",4,"118.726(2)","< 0.001",0.842,0.388
"25","o9",3,"0(0)","< 0.001",1,0
"26","a1",5,"15.141(5)","0.01",0.99,0.072
"27","a2",5,"34.724(5)","< 0.001",0.974,0.124
"28","a3",5,"28.603(5)","< 0.001",0.964,0.11
"29","a4",5,"20.642(5)","< 0.001",0.951,0.09
"30","a5",5,"65.262(5)","< 0.001",0.882,0.176
"31","a6",5,"15.098(5)","0.01",0.991,0.072
"32","a7",5,"29.404(5)","< 0.001",0.965,0.112
"33","a8",4,"6.636(2)","0.036",0.932,0.077
"34","e1",5,"6.341(5)","0.274",0.997,0.026
"35","e2",5,"44.117(5)","< 0.001",0.966,0.142
"36","e3",5,"50.828(5)","< 0.001",0.943,0.154
"37","e4",5,"29.172(5)","< 0.001",0.989,0.112
"38","e5",5,"6.587(5)","0.253",0.998,0.029
"39","e6",5,"127.563(5)","< 0.001",0.883,0.252
"40","e7",5,"28.17(5)","< 0.001",0.983,0.109
"41","e8",5,"31.239(5)","< 0.001",0.981,0.116
"42","e9",3,"0(0)","< 0.001",1,0
