"","LS_cor","LS_beta","LS_R","GPAhs_cor","GPAhs_beta","GPAhs_R","ABShs_cor","ABShs_beta","ABShs_R"
"Openness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"O1",0.06,-0.1,NA,-0.01,-0.14,NA,0,0.17,NA
"O2",0.18,0.08,NA,0.09,0.05,NA,-0.07,-0.03,NA
"O3",0.22,0.12,NA,0.14,0.07,NA,-0.16,-0.15,NA
"O4",0.07,-0.02,NA,0.15,0.13,NA,-0.06,-0.03,NA
"O5",0.04,-0.1,NA,0.04,-0.07,NA,-0.01,0.09,NA
"O6",0.13,-0.06,NA,0.1,0,NA,-0.07,0.07,NA
"O7",0.21,0.11,NA,0.1,-0.05,NA,-0.1,-0.08,NA
"O8",0.18,0.12,NA,0.12,0.1,NA,-0.03,0.05,NA
"O9",0.24,0.17,NA,0.2,0.18,NA,-0.19,-0.17,NA
"Domain score1",0.2,NA,0.1,0.15,NA,0.07,-0.1,NA,0.03
"Conscientiousness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1",0.03,0.02,NA,0.06,0.06,NA,-0.06,-0.07,NA
"C2",0.27,0.16,NA,0.12,-0.01,NA,-0.11,0.03,NA
"C3",0.19,0.08,NA,0.13,0.07,NA,-0.14,-0.06,NA
"C4",0.2,0.01,NA,0.16,-0.01,NA,-0.23,-0.1,NA
"C5",0.28,0.13,NA,0.22,0.15,NA,-0.19,0.02,NA
"C6",0.23,0.1,NA,0.16,0.03,NA,-0.18,0,NA
"C7",0.11,-0.07,NA,0.14,0.06,NA,-0.2,-0.15,NA
"C8",0.1,-0.05,NA,0.11,0.03,NA,-0.14,-0.03,NA
"C9",0.23,0.07,NA,0.13,0,NA,-0.23,-0.14,NA
"Domain score2",0.3,NA,0.12,0.23,NA,0.05,-0.27,NA,0.05
"Extraversion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1",0.26,0.09,NA,0.11,0.1,NA,-0.04,-0.02,NA
"E2",0,-0.04,NA,-0.14,-0.17,NA,0.12,0.11,NA
"E3",0.2,0.06,NA,0.06,0,NA,0,0.03,NA
"E4",0.49,0.51,NA,0.07,0.01,NA,-0.08,-0.1,NA
"E5",0.09,-0.02,NA,0,0,NA,0.01,-0.01,NA
"E6",0.11,-0.05,NA,0.06,0.04,NA,-0.01,-0.02,NA
"E7",0.16,-0.06,NA,0.02,0.01,NA,0.13,0.23,NA
"E8",0.22,-0.06,NA,0.05,-0.01,NA,-0.07,-0.09,NA
"E9",0.25,0.02,NA,0.06,0.04,NA,-0.08,-0.1,NA
"Domain score3",0.33,NA,0.25,0.05,NA,0.03,0,NA,0.03
"Agreeableness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1",0.16,0,NA,0.12,-0.03,NA,-0.08,0.05,NA
"A2",0.19,0.06,NA,0.17,0.12,NA,-0.06,-0.03,NA
"A3",0.03,-0.13,NA,0.02,-0.11,NA,0.06,0.14,NA
"A4",-0.05,-0.08,NA,0.09,0.08,NA,-0.14,-0.07,NA
"A5",-0.18,-0.16,NA,-0.03,-0.02,NA,-0.01,0.02,NA
"A6",0.25,0.23,NA,0.17,0.09,NA,-0.16,-0.12,NA
"A7",0.12,0.06,NA,0.16,0.13,NA,-0.13,-0.18,NA
"A8",0.14,0.04,NA,0.15,0.06,NA,-0.11,-0.04,NA
"Domain score4",0.16,NA,0.1,0.2,NA,0.06,-0.15,NA,0.03
"Neuroticism",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N1",0.22,0.02,NA,0.11,0.13,NA,-0.05,-0.08,NA
"N2",0.53,0.59,NA,0.09,0.13,NA,-0.06,-0.03,NA
"N3",0.31,-0.04,NA,-0.01,-0.11,NA,0.01,0.05,NA
"N4",0.25,0.09,NA,0.03,0.02,NA,-0.14,-0.16,NA
"N5",0.27,-0.05,NA,0.08,0.06,NA,-0.09,-0.14,NA
"N6",0.18,-0.07,NA,-0.05,-0.11,NA,0.03,0.1,NA
"N7",0.21,-0.04,NA,0,-0.03,NA,0.07,0.16,NA
"Domain score5",0.4,NA,0.29,0.05,NA,0.03,-0.05,NA,0.02
