"","r-life","b-life","r2-life","r-hsgp","b-hsgp","r2-hsgp","r-fina","b-fina","r2-fina"
"sumsA1",0.16,"-0.01","",0.12,"-0.03","",-0.07,"0.02",""
"sumsA2",0.19,"0.14*","",0.17,"0.1","",-0.11,"-0.01",""
"sumsA3",0.03,"-0.09","",0.02,"-0.13*","",-0.05,"0.04",""
"sumsA6",0.25,"0.2*","",0.17,"0.11*","",-0.11,"-0.08",""
"sumsA7",0.12,"0.04","",0.16,"0.14*","",-0.15,"-0.15*",""
"sumsA8",0.14,"0.02","",0.15,"0.07","",-0.09,"-0.03",""
"A",0.16,"","0.08",0.2,"","0.06",-0.14,"","0.03"
"sumsC1",0.03,"0.02","",0.06,"0.06","",0.03,"0.04",""
"sumsC2",0.27,"0.16*","",0.12,"-0.01","",-0.16,"0",""
"sumsC3",0.19,"0.08","",0.13,"0.07","",-0.2,"-0.09",""
"sumsC4",0.2,"0.01","",0.16,"-0.01","",-0.25,"-0.14*",""
"sumsC5",0.28,"0.13","",0.22,"0.15*","",-0.24,"-0.08",""
"sumsC6",0.23,"0.1","",0.16,"0.03","",-0.17,"0.03",""
"sumsC7",0.11,"-0.07","",0.14,"0.06","",-0.2,"-0.05",""
"sumsC8",0.1,"-0.05","",0.11,"0.03","",-0.09,"0.03",""
"sumsC9",0.23,"0.07","",0.13,"0","",-0.24,"-0.13*",""
"C",0.3,"","0.13",0.23,"","0.06",-0.28,"","0.1"
"sumsE1",0.26,"0.09","",0.11,"0.11","",-0.03,"-0.04",""
"sumsE3",0.2,"0.06","",0.06,"0","",0.01,"0.07",""
"sumsE4",0.49,"0.52*","",0.07,"0.03","",-0.07,"-0.07",""
"sumsE5",0.09,"-0.03","",0,"-0.05","",0.06,"0.07",""
"sumsE6",0.11,"-0.05","",0.06,"0.03","",0.02,"-0.01",""
"sumsE7",0.16,"-0.07","",0.02,"-0.02","",0.08,"0.13*",""
"sumsE8",0.22,"-0.06","",0.05,"-0.01","",-0.01,"0.01",""
"sumsE9",0.25,"0.02","",0.06,"0.02","",-0.15,"-0.18*",""
"E",0.33,"","0.26",0.05,"","0.02",0.02,"","0.05"
"sumsN1",0.22,"0.02","",0.11,"0.13*","",-0.11,"-0.09",""
"sumsN2",0.53,"0.59*","",0.09,"0.13","",-0.11,"-0.08",""
"sumsN3",0.31,"-0.04","",-0.01,"-0.11","",-0.04,"0.09",""
"sumsN4",0.25,"0.09*","",0.03,"0.02","",-0.02,"0.04",""
"sumsN5",0.27,"-0.05","",0.08,"0.06","",-0.15,"-0.14*",""
"sumsN6",0.18,"-0.07","",-0.05,"-0.11","",-0.01,"0.04",""
"sumsN7",0.21,"-0.04","",0,"-0.03","",-0.06,"-0.01",""
"N",0.4,"","0.3",0.05,"","0.04",-0.1,"","0.04"
"sumsO1",0.06,"-0.1","",-0.01,"-0.14*","",0,"0.03",""
"sumsO2",0.18,"0.09","",0.09,"0.06","",0.01,"0.07",""
"sumsO3",0.22,"0.14*","",0.14,"0.08","",-0.07,"-0.07",""
"sumsO4",0.07,"-0.02","",0.15,"0.12*","",-0.04,"-0.04",""
"sumsO5",0.04,"-0.09","",0.04,"-0.06","",0.04,"0.09",""
"sumsO6",0.13,"-0.05","",0.1,"0.01","",0.01,"0.11",""
"sumsO7",0.21,"0.13","",0.1,"-0.04","",-0.08,"-0.15*",""
"sumsO9",0.24,"0.16*","",0.2,"0.17*","",-0.09,"-0.08",""
"O",0.2,"","0.09",0.15,"","0.07",-0.03,"","0.03"
